264,5,1149985,94.0,93.83,67.86,90.24,82.6,45.04,107.57,87.63,109.35,120.21,88.35,6162.284588744588,0.0,4.02,3.73,3.29,5.33,2.95,88.38,96.09,90.73,83.11,91.37,7.59,0.18,5.98,11.56,5.68,3.19,0.18,2.92,4.65,1.37
265,8,533666,92.07,91.69,62.69,89.36,76.94,48.95,100.2,94.31,106.54,102.06,84.0,6162.284588744588,0.0,1.26,1.72,1.28,1.26,0.9,92.91,97.01,93.88,90.11,94.78,5.83,1.26,4.83,8.63,4.32,1.0,1.26,1.06,1.18,0.42
266,11,1181531,96.82,96.3,69.11,96.22,87.52,55.49,104.93,88.1,108.98,110.95,92.09,6162.284588744588,0.0,1.6,2.12,1.38,1.82,1.41,97.5,97.85,98.08,97.2,96.25,0.9,0.03,0.53,0.98,2.34,2.62,0.03,2.26,3.98,1.44
267,13,461988,99.44,99.33,67.67,97.81,80.64,45.43,112.39,110.17,120.35,116.94,84.78,6162.284588744588,0.0,2.99,4.01,2.63,3.42,2.38,90.5,95.17,91.67,87.33,91.58,6.51,0.82,5.7,9.25,6.04,3.59,0.82,3.52,4.74,2.07
268,15,234368,96.6,96.51,69.07,92.04,90.11,59.33,108.44,90.55,104.85,120.16,102.3,6162.284588744588,0.0,2.05,2.03,1.29,2.8,2.26,92.02,97.75,95.23,87.46,92.26,5.93,0.23,3.47,9.75,5.48,1.92,0.23,1.41,3.0,1.24
269,17,161892,85.98,85.88,64.61,80.79,77.45,46.42,97.69,82.51,95.49,110.08,85.94,6162.284588744588,0.0,3.31,2.82,2.67,4.32,2.7,89.01,96.64,91.88,83.72,91.23,7.68,0.53,5.46,11.95,6.07,3.67,0.53,3.04,5.42,2.2
270,18,98675,90.52,90.49,57.8,89.2,68.56,33.58,105.49,90.07,115.07,104.18,91.47,6162.284588744588,0.0,5.32,6.44,4.68,6.26,4.45,92.63,93.15,93.4,91.22,93.03,2.05,0.41,1.91,2.51,2.53,2.6,0.41,2.7,3.28,1.12
271,19,299016,84.42,84.39,54.49,85.23,68.78,36.42,100.7,90.74,106.93,104.26,84.1,6162.284588744588,0.0,2.78,2.58,1.86,3.83,3.62,90.65,96.78,92.0,87.22,91.1,6.56,0.65,6.14,8.94,5.28,1.3,0.65,1.05,1.98,0.99
272,20,296234,90.77,90.57,56.0,88.23,71.4,40.08,102.06,99.46,112.13,102.39,76.4,6162.284588744588,0.0,4.11,5.58,3.87,4.54,2.63,89.08,93.5,90.54,85.4,90.76,6.81,0.92,5.59,10.06,6.61,1.07,0.92,0.86,1.55,0.73
273,23,387454,94.23,94.16,54.9,89.17,79.23,45.26,107.57,100.47,113.84,112.85,84.74,6162.284588744588,0.0,2.64,3.95,2.02,3.21,2.47,93.6,95.2,94.59,92.05,93.32,3.76,0.85,3.4,4.75,4.2,3.42,0.85,3.36,4.29,2.08
274,25,570377,96.14,95.86,65.93,94.63,85.96,49.7,106.07,93.54,109.27,114.63,88.08,6162.284588744588,0.0,3.02,3.72,2.22,4.0,2.51,91.68,95.6,94.29,87.44,92.89,5.3,0.67,3.49,8.57,4.59,1.74,0.67,1.33,2.76,0.82
275,27,143999,82.64,82.64,53.13,84.13,53.38,23.92,103.24,91.52,124.17,94.1,72.49,6162.284588744588,0.0,2.8,3.22,2.31,3.73,2.34,88.46,96.7,88.47,84.91,92.46,8.74,0.08,9.21,11.36,5.21,1.08,0.08,1.53,0.71,0.26
276,41,242194,94.2,94.12,68.48,92.18,81.35,45.83,105.3,97.37,109.96,113.03,81.96,6162.284588744588,0.0,4.48,3.9,2.87,6.96,3.75,85.86,95.75,90.39,77.04,87.42,9.67,0.35,6.73,16.0,8.83,2.84,0.35,2.31,4.42,1.87
277,44,245778,92.92,92.86,72.01,93.02,57.99,25.08,103.71,112.96,126.79,94.02,54.34,6162.284588744588,0.0,2.51,3.31,2.32,2.73,1.94,93.27,95.82,93.29,91.95,94.89,4.21,0.87,4.38,5.32,3.17,3.59,0.87,4.4,3.26,0.84
278,47,323546,97.49,97.27,61.86,91.83,73.84,41.03,114.32,117.09,121.8,117.06,88.25,6162.284588744588,0.0,3.5,4.25,2.99,4.03,3.33,93.68,95.12,94.42,92.07,94.45,2.83,0.63,2.59,3.91,2.23,1.53,0.63,1.61,1.66,0.61
279,50,218194,93.59,93.51,64.64,91.63,79.83,44.99,107.15,94.58,110.22,109.71,100.67,6162.284588744588,0.0,3.97,5.28,3.26,4.9,3.1,90.99,94.62,93.15,86.99,92.39,5.04,0.1,3.59,8.11,4.51,1.03,0.1,0.78,1.71,0.55
280,52,309763,84.0,83.95,53.02,79.87,69.44,38.0,98.35,79.69,103.73,106.3,79.43,6162.284588744588,0.0,1.45,1.16,0.96,2.1,1.53,95.85,98.56,96.99,93.89,95.87,2.7,0.29,2.05,4.01,2.6,3.23,0.29,2.81,4.8,1.59
281,54,318252,92.25,92.18,64.42,91.15,76.09,41.87,106.49,92.94,111.14,111.31,92.28,6162.284588744588,0.0,3.25,4.26,2.97,3.61,2.58,90.56,94.9,92.43,86.83,90.96,6.19,0.85,4.6,9.56,6.46,1.37,0.85,1.34,1.83,0.77
282,63,83130,96.77,96.73,69.76,93.4,87.85,53.61,109.23,98.02,109.84,120.02,93.02,6162.284588744588,0.0,3.94,3.44,3.09,5.05,3.64,88.13,96.29,91.47,82.49,89.53,7.93,0.27,5.44,12.46,6.83,1.04,0.27,0.73,1.64,0.75
283,66,156174,99.14,98.88,69.78,95.57,86.25,50.47,114.85,99.96,114.3,125.75,102.21,6162.284588744588,0.0,4.99,5.83,3.78,6.68,3.73,88.6,93.36,91.66,83.12,91.46,6.41,0.81,4.55,10.2,4.81,1.16,0.81,0.91,1.9,0.45
284,68,405798,96.38,96.2,67.64,94.58,84.7,49.96,106.83,100.52,109.33,114.34,89.26,6162.284588744588,0.0,3.01,3.85,2.41,3.79,2.27,89.53,95.69,93.03,83.79,90.47,7.47,0.46,4.56,12.42,7.26,1.91,0.46,1.49,2.96,1.17
285,70,203411,95.93,95.88,68.35,94.94,76.35,41.9,108.96,127.39,116.79,108.63,81.84,6162.284588744588,0.0,3.0,3.67,2.38,3.86,2.33,87.91,95.35,89.48,82.93,90.01,9.09,0.99,8.14,13.21,7.66,1.17,0.99,1.05,1.73,0.69
286,73,251347,99.2,99.1,72.23,97.58,85.03,48.77,110.63,105.32,116.5,117.44,86.82,6162.284588744588,0.0,3.7,4.35,2.94,4.8,2.77,89.84,95.37,92.51,84.94,91.65,6.45,0.27,4.55,10.25,5.59,0.75,0.27,0.76,0.99,0.34
287,76,854243,81.68,81.46,55.95,76.71,72.69,41.95,92.62,78.13,92.39,102.53,80.57,6162.284588744588,0.0,3.92,4.75,3.36,4.7,2.98,88.84,94.54,91.13,84.5,91.21,7.25,0.71,5.51,10.8,5.81,1.17,0.71,1.06,1.64,0.61
288,81,64095,93.09,93.06,58.17,91.77,73.22,37.31,106.49,99.4,115.96,109.03,80.99,6162.284588744588,0.0,4.02,4.98,3.66,4.73,2.46,95.31,94.9,95.73,94.42,96.65,0.67,0.12,0.61,0.85,0.89,3.82,0.12,3.7,5.1,1.89
289,85,93431,93.46,93.43,69.21,91.44,80.9,44.98,104.68,94.71,107.83,113.91,83.55,6162.284588744588,0.0,3.01,3.96,2.67,3.54,2.07,90.13,95.78,92.48,84.94,92.96,6.86,0.26,4.85,11.52,4.97,1.9,0.26,1.7,2.91,0.64
290,86,80890,84.83,84.83,48.43,81.13,72.12,37.16,96.73,85.2,100.14,105.88,76.07,6162.284588744588,0.0,5.39,5.81,3.71,7.32,5.72,85.7,93.61,89.75,79.0,85.49,8.91,0.58,6.54,13.68,8.79,1.89,0.58,1.36,2.99,1.54
291,88,11002,91.92,91.87,73.12,90.97,82.13,49.97,98.59,88.57,103.61,106.51,75.5,6162.284588744588,0.0,2.08,1.31,2.08,2.44,1.49,88.64,97.88,91.51,82.35,90.32,9.28,0.82,6.41,15.21,8.19,3.86,0.82,3.35,6.08,0.96
292,91,22435,81.4,81.4,53.19,78.9,60.64,29.73,95.56,99.08,103.43,95.95,70.41,6162.284588744588,0.0,4.17,6.4,2.76,5.17,6.03,88.23,93.21,91.1,83.53,83.85,7.6,0.39,6.14,11.3,10.13,7.07,0.39,6.36,9.54,6.54
293,94,15808,66.26,66.26,48.64,67.19,31.46,8.69,80.77,87.79,100.39,71.92,42.29,6162.284588744588,0.0,5.7,6.34,4.58,7.47,6.95,78.65,90.67,79.38,71.28,84.56,15.65,3.0,16.03,21.25,8.49,7.31,3.0,8.29,8.13,3.6
